sector,county,staff,uses_ai,monthly_spend,round
Tourism and hospitality,Louth,44,no,191,H1 2026
Professional services,Cork,36,yes,224,H1 2026
Health,Cork,29,no,166,H2 2025
Professional services,Limerick,57,no,249,H1 2026
Tourism and hospitality,Limerick,12,no,256,H2 2025
Property,Louth,46,no,40,H1 2026
Professional services,Mayo,10,no,450,H1 2026
Professional services,Louth,42,no,-1,H1 2026
Health,Mayo,30,no,193,H1 2026
Financial services,Galway,60,no,257,H1 2026
Financial services,Galway,10,yes,246,H1 2026
Professional services,Cork,35,yes,266,H2 2025
Professional services,Mayo,14,no,262,H2 2025
Health,Louth,52,no,104,H2 2025
Health,Cork,-10,no,404,H2 2025
Financial services,Louth,39,yes,127,H1 2026
Financial services,Louth,22,yes,132,H2 2025
Public sector,Galway,45,yes,196,H1 2026
Public sector,Galway,24,yes,192,H1 2026
Health,Cork,39,yes,287,H1 2026
Health,Cork,14,no,293,H2 2025
Professional services,Limerick,40,no,100,H2 2025
Financial services,Limerick,-3,no,353,H1 2026
Public sector,Kildare,60,yes,146,H1 2026
Health,Louth,29,no,92,H2 2025
Tourism and hospitality,Louth,36,yes,171,H2 2025
Professional services,Louth,10,no,238,H1 2026
Health,Mayo,34,no,262,H2 2025
Financial services,Cork,24,no,313,H1 2026
Professional services,Louth,46,no,-29,H2 2025
Professional services,Cork,11,yes,452,H2 2025
Public sector,Louth,38,no,-6,H2 2025
Professional services,Kildare,31,yes,186,H2 2025
Retail and ecommerce,Meath,43,no,75,H1 2026
Tourism and hospitality,Galway,9,yes,208,H1 2026
Professional services,Limerick,34,yes,201,H2 2025
Health,Kildare,23,yes,263,H1 2026
Financial services,Cork,48,yes,99,H2 2025
Property,Limerick,4,no,361,H2 2025
Health,Kildare,33,yes,146,H1 2026
Professional services,Limerick,30,no,61,H1 2026
Financial services,Cork,61,yes,215,H1 2026
Tourism and hospitality,Kildare,8,no,153,H2 2025
Financial services,Kildare,46,yes,283,H2 2025
Professional services,Kildare,27,no,328,H2 2025
Financial services,Meath,55,no,124,H2 2025
Retail and ecommerce,Meath,10,no,433,H2 2025
Property,Galway,49,yes,25,H1 2026
Retail and ecommerce,Galway,28,no,31,H1 2026
Public sector,Limerick,56,yes,63,H1 2026
Professional services,Kildare,22,yes,226,H1 2026
Tourism and hospitality,Kildare,35,yes,143,H2 2025
Tourism and hospitality,Meath,7,no,183,H1 2026
Public sector,Louth,45,yes,92,H2 2025
Tourism and hospitality,Cork,10,yes,407,H2 2025
Health,Louth,36,yes,125,H2 2025
Retail and ecommerce,Louth,43,yes,217,H1 2026
Health,Louth,40,yes,168,H2 2025
Professional services,Limerick,17,no,245,H1 2026
Financial services,Louth,53,no,273,H2 2025
Professional services,Mayo,17,yes,205,H1 2026
